respondent_id,timestamp,content_quality_q1,content_quality_q2,ui_usability_q1,ui_usability_q2,teacher_student_q1,teacher_student_q2,peer_q1,peer_q2,motivation_q1,motivation_q2,autonomy_q1,autonomy_q2,accessibility_q1,reliability_q1,instructor_support_q1,instructor_support_q2,achievement_score,satisfaction_q1,satisfaction_q2
R019,2025-10-10 13:50:14.151004,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,5.0,5.0
R020,2025-10-11 19:50:14.151004,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,3.0,3.0,2.0,2.0,72.39735225442625,,2.0
R021,2025-09-28 18:50:14.151004,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,100.0,4.0,
R022,2025-10-13 22:50:14.151004,5.0,5.0,4.0,4.0,5.0,5.0,4.0,,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,5.0,5.0
R023,2025-09-26 02:50:14.151004,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,100.0,4.0,4.0
R024,2025-10-03 06:50:14.151004,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,68.73060445031491,2.0,2.0
R025,2025-09-18 22:50:14.151004,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,100.0,4.0,4.0
R026,2025-09-21 00:50:14.151004,3.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,,2.0,2.0,100.0,4.0,4.0
R027,2025-09-22 10:50:14.151004,4.0,,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,,100.0,3.0,3.0
R028,2025-10-01 07:50:14.151004,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,100.0,4.0,4.0
R029,2025-10-08 17:50:14.151004,4.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,100.0,3.0,4.0
R030,2025-10-01 12:50:14.151004,2.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,87.74487266361407,2.0,2.0
R031,2025-10-10 00:50:14.151004,3.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,98.74323451782026,3.0,4.0
R032,2025-09-15 23:50:14.151004,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,3.0
R033,2025-10-11 18:50:14.151004,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,100.0,3.0,3.0
R034,2025-10-11 10:50:14.151004,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,100.0,4.0,4.0
R035,2025-09-25 11:50:14.151004,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,100.0,5.0,5.0
R036,2025-09-28 06:50:14.151004,4.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,,2.0,2.0,3.0,2.0,1.0,1.0,,2.0,2.0
R037,2025-09-27 20:50:14.151004,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,,3.0,3.0,,3.0,100.0,2.0,3.0
R038,2025-09-17 21:50:14.151004,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,100.0,4.0,4.0
R039,2025-09-21 07:50:14.151004,5.0,5.0,4.0,4.0,4.0,4.0,1.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,100.0,,5.0
R040,2025-09-15 09:50:14.151004,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,5.0,5.0
R041,2025-10-05 13:50:14.151004,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,100.0,5.0,5.0
R042,2025-09-18 01:50:14.151004,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,100.0,4.0,3.0
R043,2025-10-12 21:50:14.151004,4.0,3.0,3.0,3.0,5.0,5.0,,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,100.0,4.0,4.0
R044,2025-10-09 15:50:14.151004,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,100.0,4.0,4.0
R045,2025-09-15 13:50:14.151004,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,100.0,3.0,3.0
R046,2025-10-13 07:50:14.151004,3.0,3.0,4.0,4.0,3.0,,2.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,100.0,3.0,
R047,2025-09-27 19:50:14.151004,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,100.0,2.0,
R048,2025-09-28 11:50:14.151004,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,100.0,3.0,3.0
R049,2025-09-28 02:50:14.151004,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,,100.0,4.0,4.0
R050,2025-10-11 11:50:14.151004,,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,100.0,4.0,5.0
